dataset,n,R,metodo,tiempo
random-muchos-productos,127,10393,PD,4.40326
random-muchos-productos,128,7865,PD,2.33637
random-muchos-productos,129,12991,PD,5.16856
random-muchos-productos,130,12153,PD,3.16427
random-muchos-productos,131,12086,PD,4.06763
random-muchos-productos,132,18178,PD,5.63492
random-muchos-productos,133,7203,PD,2.53943
random-muchos-productos,134,5263,PD,2.86962
random-muchos-productos,135,9550,PD,3.1202
random-muchos-productos,136,11947,PD,4.47898
random-muchos-productos,137,2022,PD,2.48712
random-muchos-productos,138,15202,PD,4.27362
random-muchos-productos,139,3709,PD,1.85646
random-muchos-productos,140,10653,PD,3.14202
random-muchos-productos,1,12378,BTPodas,0.002435
random-muchos-productos,2,11933,BTPodas,0.002374
random-muchos-productos,3,13118,BTPodas,0.002535
random-muchos-productos,4,15575,BTPodas,0.003356
random-muchos-productos,5,1825,BTPodas,0.00533
random-muchos-productos,6,9227,BTPodas,0.006251
random-muchos-productos,7,3504,BTPodas,0.003366
random-muchos-productos,8,3466,BTPodas,0.007394
random-muchos-productos,9,1432,BTPodas,0.006813
random-muchos-productos,10,2305,BTPodas,0.008486
random-muchos-productos,11,17974,BTPodas,0.009668
random-muchos-productos,12,7100,BTPodas,0.019467
random-muchos-productos,13,2658,BTPodas,0.016331
random-muchos-productos,14,18350,BTPodas,0.029656
random-muchos-productos,15,6054,BTPodas,0.025218
random-muchos-productos,16,16566,BTPodas,0.035316
random-muchos-productos,17,15769,BTPodas,0.09576
random-muchos-productos,18,6940,BTPodas,0.038362
random-muchos-productos,19,1415,BTPodas,0.071675
random-muchos-productos,20,10804,BTPodas,0.126418
random-muchos-productos,21,1634,BTPodas,0.452663
random-muchos-productos,22,9949,BTPodas,0.091182
random-muchos-productos,23,4379,BTPodas,0.208102
random-muchos-productos,24,12583,BTPodas,0.165461
random-muchos-productos,25,617,BTPodas,0.790028
random-muchos-productos,26,10155,BTPodas,0.378923
random-muchos-productos,27,1343,BTPodas,0.30242
random-muchos-productos,28,11128,BTPodas,1.08061
random-muchos-productos,29,16132,BTPodas,0.160683
random-muchos-productos,30,2429,BTPodas,0.529747
random-muchos-productos,31,15560,BTPodas,0.482849
random-muchos-productos,32,1512,BTPodas,0.550136
random-muchos-productos,33,8309,BTPodas,0.429949
random-muchos-productos,34,15997,BTPodas,1.12938
random-muchos-productos,35,18265,BTPodas,1.48757
random-muchos-productos,36,6583,BTPodas,0.310916
random-muchos-productos,37,6704,BTPodas,1.07955
random-muchos-productos,38,18297,BTPodas,1.16603
random-muchos-productos,39,14790,BTPodas,1.96021
random-muchos-productos,40,2874,BTPodas,8.66864
random-muchos-productos,41,16994,BTPodas,8.99807
random-muchos-productos,42,3561,BTPodas,5.99433
random-muchos-productos,43,14461,BTPodas,2.05828
random-muchos-productos,44,921,BTPodas,13.264
random-muchos-productos,45,1460,BTPodas,3.62112
